"Date","Ethnicity","Observations"
2018-03-31,"Māori",44.5
2018-03-31,"European",32.7
2018-03-31,"Pacific",9.2
2018-03-31,"Unknown",10.2
2018-03-31,"Other (incl. Asian)",3.4
2018-06-30,"Māori",44.3
2018-06-30,"European",32.2
2018-06-30,"Pacific",9.1
2018-06-30,"Unknown",11
2018-06-30,"Other (incl. Asian)",3.4
2018-09-30,"Māori",44.2
2018-09-30,"European",31.7
2018-09-30,"Pacific",9.3
2018-09-30,"Unknown",11.5
2018-09-30,"Other (incl. Asian)",3.3
2018-12-31,"Māori",44.6
2018-12-31,"European",32.3
2018-12-31,"Pacific",9.6
2018-12-31,"Unknown",10
2018-12-31,"Other (incl. Asian)",3.5
2019-03-31,"Māori",47.5
2019-03-31,"European",34
2019-03-31,"Pacific",10.8
2019-03-31,"Unknown",3.8
2019-03-31,"Other (incl. Asian)",3.9
2019-06-30,"Māori",47
2019-06-30,"European",34
2019-06-30,"Pacific",10.4
2019-06-30,"Unknown",4.6
2019-06-30,"Other (incl. Asian)",4
2019-09-30,"Māori",46.7
2019-09-30,"European",33.9
2019-09-30,"Pacific",10.4
2019-09-30,"Unknown",4.8
2019-09-30,"Other (incl. Asian)",4.2
2019-12-31,"Māori",46.8
2019-12-31,"European",33.7
2019-12-31,"Pacific",10.3
2019-12-31,"Unknown",5.2
2019-12-31,"Other (incl. Asian)",4
2020-03-31,"Māori",46.6
2020-03-31,"European",33.5
2020-03-31,"Pacific",10.3
2020-03-31,"Unknown",5.8
2020-03-31,"Other (incl. Asian)",3.8
2020-06-30,"Māori",46.4
2020-06-30,"European",32.8
2020-06-30,"Pacific",10
2020-06-30,"Unknown",7.2
2020-06-30,"Other (incl. Asian)",3.6
2020-09-30,"Māori",45.9
2020-09-30,"European",32.6
2020-09-30,"Pacific",9.8
2020-09-30,"Unknown",8
2020-09-30,"Other (incl. Asian)",3.7
2020-12-31,"Māori",45.9
2020-12-31,"European",32.2
2020-12-31,"Pacific",9.6
2020-12-31,"Unknown",8.5
2020-12-31,"Other (incl. Asian)",3.8
2021-03-31,"Māori",46.4
2021-03-31,"European",32.4
2021-03-31,"Pacific",9.9
2021-03-31,"Unknown",7.2
2021-03-31,"Other (incl. Asian)",4.1
2021-06-30,"Māori",46.5
2021-06-30,"European",32.9
2021-06-30,"Pacific",10.1
2021-06-30,"Unknown",6.3
2021-06-30,"Other (incl. Asian)",4.2
2021-09-30,"Māori",47.3
2021-09-30,"European",32.9
2021-09-30,"Pacific",9.9
2021-09-30,"Unknown",5.8
2021-09-30,"Other (incl. Asian)",4.1
2021-12-31,"Māori",47.7
2021-12-31,"European",32.7
2021-12-31,"Pacific",9.5
2021-12-31,"Unknown",6.1
2021-12-31,"Other (incl. Asian)",4
2022-03-31,"Māori",47.1
2022-03-31,"European",31.9
2022-03-31,"Pacific",9.5
2022-03-31,"Unknown",7.6
2022-03-31,"Other (incl. Asian)",3.9
2022-06-30,"Māori",46
2022-06-30,"European",31.3
2022-06-30,"Pacific",9.7
2022-06-30,"Unknown",9.2
2022-06-30,"Other (incl. Asian)",3.8
2022-09-30,"Māori",45.6
2022-09-30,"European",31.2
2022-09-30,"Pacific",9.8
2022-09-30,"Unknown",9.7
2022-09-30,"Other (incl. Asian)",3.7
2022-12-31,"Māori",45.6
2022-12-31,"European",30.6
2022-12-31,"Pacific",9.9
2022-12-31,"Unknown",10.2
2022-12-31,"Other (incl. Asian)",3.7
2023-03-31,"Māori",45.5
2023-03-31,"European",30
2023-03-31,"Pacific",9.9
2023-03-31,"Unknown",10.9
2023-03-31,"Other (incl. Asian)",3.7
2023-06-30,"Māori",45.3
2023-06-30,"European",29.6
2023-06-30,"Pacific",9.8
2023-06-30,"Unknown",11.8
2023-06-30,"Other (incl. Asian)",3.5
2023-09-30,"Māori",45.2
2023-09-30,"European",29.2
2023-09-30,"Pacific",9.6
2023-09-30,"Unknown",12.5
2023-09-30,"Other (incl. Asian)",3.5
2023-12-31,"Māori",46
2023-12-31,"European",29.3
2023-12-31,"Pacific",9.5
2023-12-31,"Unknown",11.6
2023-12-31,"Other (incl. Asian)",3.6
2024-03-31,"Māori",45.4
2024-03-31,"European",29
2024-03-31,"Pacific",9.5
2024-03-31,"Unknown",12.5
2024-03-31,"Other (incl. Asian)",3.6
